"jurisdiction","week_of_allocations","1st_dose_allocations","2nd_dose_allocations"
"Ohio","2021-03-08T00:00:00.000","143910","143910"
"Wisconsin","2021-03-08T00:00:00.000","72540","72540"
"Arkansas","2021-03-08T00:00:00.000","37440","37440"
"Louisiana","2021-03-08T00:00:00.000","57330","57330"
"New Mexico","2021-03-08T00:00:00.000","25740","25740"
"Oklahoma","2021-03-08T00:00:00.000","47970","47970"
"Texas","2021-03-08T00:00:00.000","328770","328770"
"Iowa","2021-03-08T00:00:00.000","38610","38610"
"Kansas","2021-03-08T00:00:00.000","35100","35100"
"Missouri","2021-03-08T00:00:00.000","76050","76050"
"Nebraska","2021-03-08T00:00:00.000","23400","23400"
"Colorado","2021-03-08T00:00:00.000","69030","69030"
"Montana","2021-03-08T00:00:00.000","14040","14040"
"North Dakota","2021-03-08T00:00:00.000","10530","10530"
"South Dakota","2021-03-08T00:00:00.000","10530","10530"
"Utah","2021-03-08T00:00:00.000","35100","35100"
"Wyoming","2021-03-08T00:00:00.000","8190","8190"
"Arizona","2021-03-08T00:00:00.000","85410","85410"
"California","2021-03-08T00:00:00.000","479700","479700"
"Hawaii","2021-03-08T00:00:00.000","18720","18720"
"Nevada","2021-03-08T00:00:00.000","36270","36270"
"American Samoa","2021-03-08T00:00:00.000","0","0"
"Guam","2021-03-08T00:00:00.000","0","0"
"Marshall Islands","2021-03-08T00:00:00.000","0","0"
