"jurisdiction","week_of_allocations","1st_dose_allocations","2nd_dose_allocations"
"Virginia","2021-05-03T00:00:00.000","126360","126360"
"West Virginia","2021-05-03T00:00:00.000","28080","28080"
"Alabama","2021-05-03T00:00:00.000","72540","72540"
"Florida","2021-05-03T00:00:00.000","314730","314730"
"Georgia","2021-05-03T00:00:00.000","149760","149760"
"Kentucky","2021-05-03T00:00:00.000","66690","66690"
"Mississippi","2021-05-03T00:00:00.000","44460","44460"
"North Carolina","2021-05-03T00:00:00.000","150930","150930"
"South Carolina","2021-05-03T00:00:00.000","74880","74880"
"Tennessee","2021-05-03T00:00:00.000","99450","99450"
"Chicago","2021-05-03T00:00:00.000","40950","40950"
"Illinois","2021-05-03T00:00:00.000","149760","149760"
"Indiana","2021-05-03T00:00:00.000","97110","97110"
"Michigan","2021-05-03T00:00:00.000","148590","148590"
"Minnesota","2021-05-03T00:00:00.000","81900","81900"
"Ohio","2021-05-03T00:00:00.000","173160","173160"
"Wisconsin","2021-05-03T00:00:00.000","86580","86580"
"Arkansas","2021-05-03T00:00:00.000","44460","44460"
"Louisiana","2021-05-03T00:00:00.000","69030","69030"
"New Mexico","2021-05-03T00:00:00.000","31590","31590"
"Oklahoma","2021-05-03T00:00:00.000","57330","57330"
"Texas","2021-05-03T00:00:00.000","394290","394290"
"Iowa","2021-05-03T00:00:00.000","46800","46800"
"Kansas","2021-05-03T00:00:00.000","42120","42120"
"Missouri","2021-05-03T00:00:00.000","90090","90090"
"Nebraska","2021-05-03T00:00:00.000","28080","28080"
"Colorado","2021-05-03T00:00:00.000","81900","81900"
"Montana","2021-05-03T00:00:00.000","16380","16380"
